epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2495.35,0.9706,2.21506,1.11875,0.53628,0.35109,0.38248,0.30076,0.82772,1.56726,1.01353,0.067,3.3033e-05,3.3033e-05
2,5000.72,0.79221,1.19992,1.00509,0.71431,0.39993,0.47039,0.37336,0.72597,1.22169,0.95133,0.0336934,5.97304e-05,5.97304e-05
3,8122.53,0.71867,0.92972,0.96114,0.81345,0.46846,0.58148,0.47527,0.65706,0.90002,0.91046,0.000380062,7.97618e-05,7.97618e-05
4,10029.9,0.65315,0.80218,0.93334,0.81111,0.52327,0.62626,0.51311,0.60961,0.80221,0.89668,7.0003e-05,7.0003e-05,7.0003e-05
5,11821.9,0.62017,0.71237,0.91546,0.78311,0.58927,0.6569,0.53574,0.58031,0.72864,0.88001,6.0004e-05,6.0004e-05,6.0004e-05
6,13637.4,0.59302,0.6524,0.89932,0.76827,0.60625,0.66818,0.54856,0.56516,0.69568,0.86961,5.0005e-05,5.0005e-05,5.0005e-05
7,15428.3,0.56159,0.59035,0.88764,0.87263,0.5671,0.67812,0.56172,0.55935,0.66484,0.86343,4.0006e-05,4.0006e-05,4.0006e-05
8,17241.4,0.56452,0.55974,0.88465,0.86212,0.5917,0.69089,0.56677,0.54479,0.6416,0.8626,3.0007e-05,3.0007e-05,3.0007e-05
9,19049.2,0.53021,0.53428,0.86948,0.87133,0.59651,0.69448,0.57267,0.53241,0.62397,0.8532,2.0008e-05,2.0008e-05,2.0008e-05
10,20860.4,0.53187,0.51719,0.87252,0.8817,0.60912,0.70148,0.5816,0.52702,0.61426,0.85383,1.0009e-05,1.0009e-05,1.0009e-05
